Commit ID,CommitMessage,a2a,Label,Sentiment_Score
c8aabc11f13e2225334b0022efe5e198615dc285,Initial project code with maven modules and basic repository code. Contributed by Venkatesh Seetharam,3.846153846,No_arch,0.0
e1df983cac89e612db7192a718cc819816bf95b1,Introduce FieldMapping to get ready for Trait and Class Types,5.504587156,No_arch,0.3612
52460fa99bbd5b40dd2718ee1b20fde6584b21aa,add apache headers,100.0,No_arch,0.0
7a33946d5c3f13eaefca2dbf66aa3739ea602229,add support for Traits,82.40740741,No_arch,0.4019
4c1f4c8f97e04ca9bfa00c361f86ed568f443e92,"refactor: introduce concepts for ConstructableType, HierarchicalType, IInstance, ITypedInstance etc.",84.7826087,arch,0.0
4128b89eb1e1f48cc3b1e50241b2a131548bc795,assertions in place of printlns for tests,100.0,No_arch,0.0
5273b41f502ea19b9b049e190810e46cd3f4ac13,Fixed an issue with persisting to graph db. guava lib confilt. Contributed by Venkatesh Seetharam,7.042253521,No_arch,0.0
040ee99cb74645fc570747c68c22c91a91358d83,introduce ClassType,7.947019868,No_arch,0.0
8936008d41a09cb9f9d665fb00e61b9f3a065651,ISSUE-3 Externalize graph configuration. Contributed by Venkatesh Seetharam,7.947019868,No_arch,0.0
5279a71cc0b4baa145b7896fe90edf1b26bcf1c8,ISSUE-4 Add unit tests for the repository services. Contributed by Venkatesh Seetharam,89.43661972,No_arch,0.0
b8feeebf7a191601d05fd2a44961f230fc47b5eb,"unify defining structs, traits and class types",14.94252874,No_arch,0.0
37ec473dd22b2f945183c034ab96183cece49b32,decouple supertype graph setup from field setup,100.0,No_arch,0.0
f09a14be116ed1a1e7320d0424baa4e97b91a993,fix issues with ClassType output and convert,95.05494505,No_arch,0.0
71ac0a94ece496b07d7f5600f8c1677df8618e29,ISSUE-5 Enable integration tests and add a few. Contributed by Venkatesh Seetharam,6.097560976,No_arch,0.0
978acb672d22592c664a982c9f60b1bed8b34284,"Added Base Class Structure for the Bridge Extensions & Hive Bridge
Implementations",8.839779006,No_arch,0.0
806b9aed7e89708412cba246553d199439642205,Added pluginManagement tags to fix poms for m2eclipse,8.839779006,No_arch,0.0
2d335d555ee950f1725c4948c66fa87aca802ffd,document interfaces,8.839779006,No_arch,0.0
d3e60d7148e583e310b69415161e657fa84143d9,Store contracts and skeleton code,80.39215686,No_arch,0.0
ec4e5b67adfcbc613ab33eb23b5252dfa776c3f2,add fastutil dependency,100.0,No_arch,0.0
14281eea1d8a409c74a2ce41a51b3d375ba7f3f3,fix pom merge issues; remove runtime scope,100.0,No_arch,0.0
232a95c6465a0003d482563c971b8346f683cde0,add ObjectGraphWalker and DiscoverInstances NodeProcessor,80.55555556,No_arch,0.0
e05c8845b67b782806730c47bc2bfbff986df16e,flush out MemRepository create call,82.53968254,No_arch,0.2732
4d6019076c91b0922410bfdafa238fd4115bec10,support ReferenceableInstance json serialization,100.0,No_arch,0.4019
745db5cba5d63053ea4415da61c6c73a81ac9806,"refactor to subprojects, getting ready for master merge",30.44982699,arch,0.3612
6d1cb9821a1ba58dac6ac673428764caa172e3cd,Merge remote-tracking branch 'origin/master' into types,71.68367347,No_arch,0.0
34941a4f55f975f2548414699189d3bf492caa2d,typesystem as submodule,100.0,No_arch,0.0
4139050e2bd02f9a16c69422c3b8c72a76c7ca71,"Added comments based on the team's discussions of the Type and
Repository systems",100.0,No_arch,0.0
77030a8c5a2d163b4c3f6f2028d5f1f8aa2c2add,rename typesystem module package to o.a.h.metadata,45.34313725,No_arch,0.0
0a208d18895103e434d7059921fb9d66ed6d6b83,add java json serde test,96.03960396,No_arch,0.0
6c00ad96958046b505e865b8b99fc5451618e16d,add primitive attribute stores,98.03921569,No_arch,0.0
bf00ea9141f018831d516684ddf53978184fe3e9,"add collection, struct and class/trait stores",98.28850856,No_arch,0.0
2810310f2c4d7752fbb37a83b274726a39ca5ed2,complete wiring of createInstance flow; add StorageTest,96.74418605,No_arch,0.0
546efae9625889c67293a3759ccc5156df6ffd63,"fix minor issues in Walker, Stores: get MemRepo:create to work",100.0,No_arch,0.0
82209db0f4d9b8f711f24be35b9ff34eb9367fdf,introduce ClassStore + TraitStore,96.37188209,No_arch,0.0
9cdc25eefacd64f63e1a8190e1db5c23582e594c,"Initial Committ of Hivehook written by aetna..

todo: add more parser functionality around astnode specifically around
partitions, drops, updates and alters",98.39816934,No_arch,0.0
