Commit ID,CommitMessage,a2a,Label,Sentiment_Score
88d58477d2bbe6adea5a315c6b1bd833949ee57c,Added query matching to uritemplates and all existing tests passing.,98.87640449,No_arch,0.0
c6a0b5f55b07dee08d1a41ca4a463f6753bd705f,"Added scheme, authority and fragment to Template and Parser.",87.10280374,No_arch,0.0772
93396a759a118f484e2ef1693cf011cb9e32aadb,"UrlTemplate Expander, Extractor and Matches now handle scheme, authority and fragment and tests pass.",97.13261649,No_arch,0.0772
83c50eb811bc1de46d78f751f1acfa3d1306a869,Some minor class renaming.,95.221843,No_arch,0.0
599d201d6665a685ec8765e2e9da026f063470c7,Pretty good test coverate on urltemplate stuff.,100.0,No_arch,0.7269
92350ed7b5ba3dd7b5c2e4226df9a245242f27d6,Refactored to merge Matcher and Extractor.,97.20767888,arch,0.0
f1c242025e67b02917ab7a781875cf557622bf7c,Completed code coverage for urltemplate package.,99.28952043,No_arch,0.0
9bcc9a37a3cddf39e02acb92c4265a8f63bf93b5,Support simplified query syntax and multiple query values.,93.20214669,No_arch,0.6597
d1d36daa13d0c24895a498cc6e3aa0821ae5944a,WebHdfs PUTs working.  URL template stuff complete for now.,97.6146789,No_arch,0.0
6ac6d31ace5d068e2f2c7dadded75ef507e9107d,Cleaned up todo.txt and done.txt to reflect current status.,100.0,No_arch,0.0
ed1a2b03a19cddbd2c0046f5d45e627f611032de,Starting to add LDAP Authc into functional test but running into issues.  Committing progress before weekend.,99.07578558,No_arch,0.631
3b16e9854d20f1660e68ec4da6cd907f2be624aa,Figured out LDAP issue in shiro.ini file.,100.0,No_arch,0.0
2e6464cb8cc4b122083d8d6efdc5cac5ee25abcb,Completed mock of webhdgs and templeton use cases.  Initial LDAP integration via ApacheDS and Shiro.,92.79279279,No_arch,-0.4215
1fb9def1bae0e46506954e33d489dd0c1f5999ca,Created sub-module for gateway server.  Step one in multi-module strucure.,16.21621622,No_arch,0.25
fba873cb07bc0add7c029a63febfe026eaf4964a,Pulled out test categories into separate module.,95.46925566,No_arch,0.0
0b2d7c958d517fcee295b7c0db5c16a8d5c1821d,Moved test categories and mocks to test module.,86.27118644,No_arch,-0.4588
c5bc4c7f676286055e47b81041bdcecf30073607,Separated i18 module and misc cleanup.,79.89130435,No_arch,0.0
57a60b3d0ae6280a38865757485d070b3591698d,Mock server framework syntax cleanup.,98.17518248,No_arch,-0.4215
43b754dd18c04d68ce5e7fd34997a5c49b7e7159,Initial progress on Hadoop style config.,98.1981982,No_arch,0.4215
0fc4d209c15b0c5d7460d236e7eb59351f3ffe29,Add some new todo security items.,100.0,No_arch,0.34
ca5f237f0dac69f32e80c786b2833bca6a4c8348,Cleanup of Override annotations and added SpringSecurity testing,98.74551971,No_arch,0.0
1d836057ce81f55e4693c83b5f5d83bb2ae6a57d,Merge branch 'master' of github.com:hortonworks/ambari-gateway,100.0,No_arch,0.0
