Commit ID,CommitMessage,A2A,Label,Sentiment_Score
22c72f70298ae5b2edd636ddeb363d6d8f750685,"Next version.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",99.28057554,No_arch,0
e8a0c370ddd6fb6bb70c0742ad7e864b819c2d08,"Merge ~cutting/avro

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",99.28057554,No_arch,0
8edb62db76579f58d3713e6dde9345363153d2df,"Ignore build directory.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",100,No_arch,-0.3612
e2b3d669da0efd84d73805d0fe11383b049ca3de,"AVRO-3.  Fix ValueReader to throw an exception at EOF.  Contributed by Pat Hunt.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",90.68322981,No_arch,0
fc29ce8b138b408b3ae054c2bfca61cc08c0c232,"Adding *.pyc to ignore list.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",100,No_arch,-0.3612
7947e7367bfcbd96851ef986d99ef170ee09c992,"AVRO-6.  Provide easier implementation of alternate generic data representations.  Contributed by Hong Tang.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",90.19607843,No_arch,0.4215
9b14a2a7da50853d869d0fa0f153c6dbcbd4a2de,"Fix so that specific code generation works under Eclipse.  Contributed by Pat Hunt.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",100,No_arch,0
e6d1fca400c0f5627f81f0f673ba06393b8745d0,"Fix so that EOF is not thrown when one attempts to read an empty buffer.  Contributed by sharad.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",100,No_arch,-0.2023
952db93552b995be8af8a9c54f7c4ab8c152a364,"AVRO-11.  Re-implement specific and reflect datum readers and writers to leverage AVRO-6.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",98.35390947,No_arch,0
288a8cfdcf6bbba131fb5414663ad84b4dc35d0a,"AVRO-13. Use dictionary instead of if-else in validate.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",100,No_arch,0.3612
9bd461944d016a23876a28680c3ec405b8c8ff55,"AVRO-5. Add java versus python RPC interoperability tests.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",100,No_arch,0
c201bb7b930d8c5be3e5b5c52a3f51192f9ebb14,"AVRO-16. Minor documentation improvements.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",100,No_arch,0.3182
55574fe9a59e76e111260d28de09ed1dec04d478,"AVRO-15. Override __eq__() and __hash__() in Schema classes.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",100,No_arch,0
5183bd9feb3a288632337de3533d36558248de61,"AVRO-1.  Record fields are now defined with JSON arrays, rather than JSON objects, since fields are ordered.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",100,No_arch,0
0abe6d6ae36cc5f9cffd9047ed76baf13f2d0ca1,"AVRO-1.  Record fields are now defined with JSON arrays, rather than JSON objects, since fields are ordered.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",100,No_arch,0
87f3bff4097e2782e8ebd6b3446ed5192f7e3934,"AVRO-9.  Restrict map keys to strings.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",100,No_arch,-0.3818
75b5c9a86bf1d342b848ecd629d244f2942c904c,"Fix a typo.


git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",100,No_arch,0
d1a9521495c8ca1ed7f6e6f3437ae7e5a58f1b72,"Add Java support for default values.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",96.26556017,No_arch,0.6597
20633ecbe5bb3787857494b8476f612c7f7fddcb,"Minor doc updates.  Copied javadoc overview to main doc.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",100,No_arch,0
32a1fcb5682049aacfbd06c32b630f166c23f643,"AVRO-31. Fix Java package imports in generated specific classes.  Contributed by sharad.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",100,No_arch,0
94335e391efff84c65e2d9f7bfd57c2e9f34c9e4,"AVRO-21.  Default Java namespace from containing definition.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",100,No_arch,0
13ba975ab15341d7ecda31b2e8870d68084828e8,"AVRO-33.  C support for primitive types.  Contributed by Matt Massie.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",100,No_arch,0.4019
ff6e70c84c24f4c0e86dbaa3b4fc969d5660f6da,"AVRO-26.  Switch tests from JUnit to TestNG.  Contributed by Konstantin Boudnik.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",97.1659919,No_arch,0
f42255b1f8bbf661680383677e70135fd6ac8f2a,"AVRO-18.  Add support for enum types.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",100,No_arch,0.4019
b061e6203def8a518b23fc8863126b0b3d43002b,"Remove some redundant code.  Inherited methods are identical.


git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",100,No_arch,0
70ffe34fe20ea9b6a85995b29b6d1a8c25a43a83,"AVRO-10.  Add Java support for fixed-sized types.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",97.265625,No_arch,0.4019
998a811d2a0506a34aeb3f9bdb263cf2d89979fb,"AVRO-34.  Upgrade to Jackson version 1.0.0.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",100,No_arch,0
513251ce736834d9507cd41ceb4cb73af9de0cd1,"AVRO-10. Fix a doc typo.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",100,No_arch,0
2b7ea9cc6054a9408457fdd01a5a82181144c992,"AVRO-12.  Fix recursive schemas so that equals() and hashCode() do not cause stack overflow.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",100,No_arch,0
ac3528e555e4d896d275f9213c755ace0f549a15,"AVRO-22.  When parsing schemas in Java, do not permit anonymous.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",100,No_arch,0
dc20712f258623f6d9d8977f2a8f9100c279e5f1,"AVRO-38.  Add Python support for fixed-sized types.  Contributed by sharad.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",100,No_arch,0.4019
60dabd6f9cae2a62554e9de8aff904bc07acb9dc,"AVRO-37.  Add C API docs.  Contributed by Matt Massie.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",100,No_arch,0
c4c9689155ae22f1cab7f9f9bb9f23abbd807fac,"AVRO-39.  Fix bug in Java record schema toString().  Contributed by sharad.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",100,No_arch,0
c5aa64581b100d2e7d6ab7ab4e29734551f3c1ce,"AVRO-40.  Fix a typo in spec, where 'unsigned' was used where 'signed' was intended.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",100,No_arch,0
f806cb0b94a073c667debbcf54fc91d21ee85ccc,"AVRO-32.  Java specific generated record classes now implement equals and hashCode.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",92.33226837,No_arch,0
5e4733ecf7b1102772af70a2255924c3903653c0,"AVRO-2.  Optimized Java RPC handshake protocol.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",98.13333333,No_arch,0.4588
11c84aeb7b115b0108b193f1bbc7f8beec41e91b,"AVRO-42.  Add partial C++ implementation.  Contributed by Scott Banachowski.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",100,No_arch,0
111ac06544ec45b8f2b17f224e0b6b4b15a0219e,"AVRO-42.  Add partial C++ implementation.  Contributed by Scott Banachowski.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",100,No_arch,0
c787721da830d7fc22cc49da4843f60685231b2d,"AVRO-44.  Fix so that 'ant clean' works even if C has not been built.  Contributed by Matt Massie.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",100,No_arch,0.4522
0282ee3550dd4d7c3ea05ad816a16c1bb125005c,"AVRO-45.  Fix c++ compilation so that python script need not be made executable.  Contributed by Scott Banachowski.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",100,No_arch,0
8204eee49c1be262c2078dcb1404e8dc7be71bf3,"AVRO-25.  Add blocking value writer.  Contributed by Thiruvalluvan M. G.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",91.44542773,No_arch,-0.0516
bd8c9502c42ccfbeba3b82958d1571a861b6e7b0,"AVRO-25.  Remove empty files.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",98.63013699,No_arch,-0.2023
7fd4f2c44cf7de14271c1ed5a20e534f66e6ab79,"AVRO-48.  Remove unused imports and annotations.  Contributed by Thiru.

git-svn-id:  13f79535-47bb-0310-9956-ffa450edef68",84.64419476,No_arch,0
