a64dbf5b06ca1a73dc2ad6c7d31e679e312082aa,ZOOKEEPER-4466,Bug,Watchers of different modes interfere on overlapping pathes,server,Major,99.69339261
89c1831f84891f425f1fa9224210587124f1c1ec,ZOOKEEPER-4688,Task,Upgrade `cyclonedx-maven-plugin` to 2.7.6,build,Major,100
31e3f1cde33472e5bf54a7a79e3acf066cc53fba,ZOOKEEPER-4687,Improvement,Improve SuppressWarnings in KeeperException,,Major,100
3eda8a3a00ef3230d6c16f6ddf9201a3c0f5ca07,ZOOKEEPER-4682,Task,FileSnap.deserialize is effectively a static method,,Minor,100
e50a0bbae1bc0b812ac2656f5ba3f9eab7c3d62e,ZOOKEEPER-4671,Bug,Java classpath should contain libs about metrics providers,,Minor,100
f46b8fb87ff3b06bab58bb6fcb73439a86bf9ab3,ZOOKEEPER-3731,Improvement,Disable HTTP TRACE Method,,Critical,100
16227468d64dd7e1744517a2e587099d5501c0c1,ZOOKEEPER-4676,Test,ReadOnlyModeTest doesn&apos;t not compile on JDK20 (Thread.suspend has been removed),tests,Major,100
14b936201b719ab5cf6346d1ed7dfc4ff382cbb7,ZOOKEEPER-4679,Task,Fix CI failure and warning,,Major,100
df320056140a49423718ee6f0a7c35538281176e,/,/,    [hotfix] Bump actions/checkout to v3 in GitHub Actions workflows (#1938),/,/,100
de8768807fc7a3fcabc9762b033cf59e695cf14b,ZOOKEEPER-4296,Bug,NullPointerException when ClientCnxnSocketNetty is closed without being opened,,Minor,100
a9517d88605ed61fed8f3dfdc2f5a04dfbcee1f8,ZOOKEEPER-4677,Improvement,Cleanup code in the DataTree class,,Major,100
ee8014adc748901b642e66c5734082d50b077a84,ZOOKEEPER-4636,Improvement,Fix zkServer.sh for AIX,server,Major,100
d79811bf28f00fb1db6ec6002e884af6cfd0d7fc,ZOOKEEPER-4639,New Feature,Provide auth support for admin server APIs,security,Major,98.77094972
255b0c9137a75635cf6e2c112672a045c58ce1cf,ZOOKEEPER-4475,Bug,Persistent recursive watcher got NodeChildrenChanged event,,Major,100
ac219cef2ad7999fc95c8fd4eb3b945ba37abd43,/,/,    docs: Minor clarification around globalOutstandingLimit comments,/,/,100
2e9c3f3ceda90aeb9380acc87b253bf7661b7794,ZOOKEEPER-4647,Test,Tests don&apos;t pass on JDK20 because we try to mock InetAddress,,Critical,99.98329993
2d1bac7e077f49a7149d3fb878a2c73b9e627f6e,ZOOKEEPER-4674,Test,C client tests don&apos;t pass on CI,tests,Blocker,100
0374d566db047e69e867febbbf00f8a42a558104,ZOOKEEPER-4668,New Feature,Add s390x to Jenkins build,build-infrastructure,Major,100
629518b5ea2b26d88a9ec53d5a422afe9b12e452,ZOOKEEPER-4672,Task,Code cleanup - apply JDK7 Diamond operator consistently,,Trivial,100
d8a739f4cc5e26517ecb42fc3bfbc11c0213fd97,ZOOKEEPER-4668,New Feature,Add s390x to Jenkins build,build-infrastructure,Major,100
3cbceec20afcf85bbfe59be237a96ee105ac60f0,/,/,    Fix add version for container and TTL nodes,/,/,100
7a3135fbc39239096b5c25f8313289aec052106b,ZOOKEEPER-4668,New Feature,Add s390x to Jenkins build,build-infrastructure,Major,100
205840ee9f937fae1b61f6854f86f6fb3bc70a28,ZOOKEEPER-4669,Task,Upgrade snappy-java to 1.1.9.1 (in order to support M1 macs),java client,Major,100
d35bdfb9d3a4bc3d94f22785604418d4f650365d,ZOOKEEPER-4571,New Feature,Admin server API for restoring database from a snapshot,,Major,95.3588775
778c4519e676278d2b76330df6e60032437a9973,ZOOKEEPER-4666,Task,Fix license files for Netty: some files are for 4.1.76 and some other files are for 4.1.86,,Major,100
daea9e300f2332134600b1088265bae7b02d5383,ZOOKEEPER-1875,Bug,NullPointerException in ClientCnxn$EventThread.processEvent,java client,Minor,100
43647aa5caa812041bd9f1141f5f02a467c7f360,ZOOKEEPER-4660,Improvement,Suppress false positive OWASP failure for CVE-2021-37533,,Major,100
3e7f551bb9372c87930a4490c8572d976dba976f,ZOOKEEPER-4661,Improvement,Upgrade Jackson Databind to 2.13.4.2 for CVE-2022-42003 CVE-2022-42004,server,Blocker,100
f26d9b7a84e6ce2d2269a9011ce46b6d28b430e1,ZOOKEEPER-4659,Improvement,Upgrade Commons CLI to 1.5.0 due to OWASP failing on 1.4 CVE-2021-37533,tools,Blocker,100
c7e15cee13abcfcad7bece2631716d5238c566a3,ZOOKEEPER-4649,Task,Upgrade netty to 4.1.86 because of CVE-2022-41915,,Major,100
aa8790c72bcb02ce6f15dd93bbf6df4a14f9015b,ZOOKEEPER-4657,Improvement,Publish SBOM artifacts,build,Major,100
b069edeb2436a051ad2b18e03fd67ae8ec23875c,ZOOKEEPER-4570,New Feature,Admin server API for taking snapshot and stream out the data,server,Major,96.75994109
9a43bc95aa8c95808d585b7aafb375a1e438a581,ZOOKEEPER-4654,Bug,Fix C client test compilation error in Util.cc.,c client,Major,100
50d5722dd3342530eae4a737d9759ec5f774c84b,ZOOKEEPER-4641,Task,GH CI fails with error: implicit declaration of function FIPS_mode,,Major,100
21a707b73e588a7bfc53dfcacaa14f5a1b386159,ZOOKEEPER-4627,Task,High CVE-2022-2048 in jetty-*-9.4.46.v20220331.jar fixed in 9.4.47,security,Critical,100
f1d69fdc8a4407f85e0d9af84daac93c00fe82f7,ZOOKEEPER-4642,Task,Remove Travis CI,build-infrastructure,Trivial,100
ab1bdad3f9e3caee676174aaea4a7651a977b7c6,ZOOKEEPER-4632,Task,Fix NPE from ConnectionMetricsTest.testRevalidateCount,tests,Major,100
